dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,0.000000,0.000120,0.023958,2.395850,239.584984,0.000000
0.010000,0.000000,0.000000,0.000599,0.071875,4.791700,239.584984,0.000000
0.010000,0.000000,0.000000,0.001677,0.143751,7.187550,239.584984,0.000000
0.010000,0.000000,0.000000,0.003594,0.239585,9.583399,239.584984,0.000000
0.010000,0.000000,0.000000,0.006589,0.359377,11.979249,239.584984,0.000000
0.010000,0.003201,0.000000,0.010901,0.503128,14.375099,239.584984,0.000000
0.010000,0.009071,0.000000,0.016771,0.670838,16.770949,239.584984,0.000000
0.010000,0.016738,0.000000,0.024438,0.862506,19.166799,239.584984,0.000000
0.010000,0.026441,0.000000,0.034141,1.078132,21.562649,239.584984,0.000000
0.010000,0.038420,0.000000,0.046120,1.317717,23.958498,239.584984,0.000000
0.010000,0.052915,0.000000,0.060615,1.581261,26.354348,239.584984,0.000000
0.010000,0.070165,0.000000,0.077865,1.868763,28.750198,239.584984,0.000000
0.010000,0.090410,0.000000,0.098110,2.180223,31.146048,239.584984,0.000000
0.010000,0.113889,0.000000,0.121589,2.515642,33.541898,239.584984,0.000000
0.010000,0.140843,0.000000,0.148543,2.875020,35.937748,239.584984,0.000000
0.010000,0.171510,0.000000,0.179210,3.258356,38.333597,239.584984,0.000000
0.010000,0.206130,0.000000,0.213830,3.665650,40.729447,239.584984,0.000000
0.010000,0.244942,0.000000,0.252642,4.096903,43.125297,239.584984,0.000000
0.010000,0.288187,0.000000,0.295887,4.552115,45.521147,239.584984,0.000000
0.010000,0.336104,0.000000,0.343804,5.031285,47.916997,239.584984,0.000000
0.010000,0.388933,0.000000,0.396633,5.534413,50.312847,239.584984,0.000000
0.010000,0.446913,0.000000,0.454613,6.061500,52.708696,239.584984,0.000000
0.010000,0.510283,0.000000,0.517983,6.612546,55.104546,239.584984,0.000000
0.010000,0.579283,0.000000,0.586983,7.187550,57.500396,239.584984,0.000000
0.010000,0.654154,0.000000,0.661854,7.786512,59.896246,239.584984,0.000000
0.010000,0.735133,0.000000,0.742833,8.409433,62.292096,239.584984,0.000000
0.010000,0.822462,0.000000,0.830162,9.056312,64.687946,239.584984,0.000000
0.010000,0.916379,0.000000,0.924079,9.727150,67.083795,239.584984,0.000000
0.010000,1.017125,0.000000,1.024825,10.421947,69.479645,239.584984,0.000000
0.010000,1.124938,0.000000,1.132638,11.140702,71.875495,239.584984,0.000000
0.010000,1.240059,0.000000,1.247759,11.883415,74.271345,239.584984,0.000000
0.010000,1.362726,0.000000,1.370426,12.650087,76.667195,239.584984,0.000000
0.010000,1.493180,0.000000,1.500880,13.440718,79.063045,239.584984,0.000000
0.010000,1.631660,0.000000,1.639360,14.255307,81.458894,239.584984,0.000000
0.010000,1.778406,0.000000,1.786106,15.093854,83.854744,239.584984,0.000000
0.010000,1.933657,0.000000,1.941357,15.956360,86.250594,239.584984,0.000000
0.010000,2.097653,0.000000,2.105353,16.842824,88.646444,239.584984,0.000000
0.010000,2.270633,0.000000,2.278333,17.753247,91.042294,239.584984,0.000000
0.010000,2.452838,0.000000,2.460538,18.687629,93.438144,239.584984,0.000000
0.010000,2.644506,0.000000,2.652206,19.645969,95.833993,239.584984,0.000000
0.010000,2.845877,0.000000,2.853577,20.628267,98.229843,239.584984,0.000000
0.010000,3.057191,0.000000,3.064891,21.634524,100.625693,239.584984,0.000000
0.010000,3.278687,0.000000,3.286387,22.664739,103.021543,239.584984,0.000000
0.010000,3.510605,0.000000,3.518305,23.718913,105.417393,239.584984,0.000000
0.010000,3.753185,0.000000,3.760885,24.797046,107.813243,239.584984,0.000000
0.010000,4.006546,0.000000,4.014246,25.875178,107.813243,0.000000,0.000000
0.010000,4.270689,0.000000,4.278389,26.953311,107.813243,-0.000000,0.000000
0.010000,4.545613,0.000000,4.553313,28.031443,107.813243,0.000000,0.000000
0.010000,4.831318,0.000000,4.839018,29.109576,107.813243,0.000000,0.000000
0.010000,5.127804,0.000000,5.135504,30.187708,107.813243,-0.000000,0.000000
0.010000,5.435072,0.000000,5.442772,31.265840,107.813243,0.000000,0.000000
0.010000,5.753121,0.000000,5.760821,32.343973,107.813243,0.000000,0.000000
0.010000,6.081951,0.000000,6.089651,33.422105,107.813243,-0.000000,0.000000
0.010000,6.421563,0.000000,6.429263,34.500238,107.813243,0.000000,0.000000
0.010000,6.771956,0.000000,6.779656,35.578370,107.813243,0.000000,0.000000
0.010000,7.133130,0.000000,7.140830,36.656503,107.813243,0.000000,0.000000
0.010000,7.505086,0.000000,7.512786,37.734635,107.813243,-0.000000,0.000000
0.010000,7.887823,0.000000,7.895523,38.812767,107.813243,0.000000,0.000000
0.010000,8.281341,0.000000,8.289041,39.890900,107.813243,0.000000,0.000000
0.010000,8.685641,0.000000,8.693341,40.969032,107.813243,0.000000,0.000000
0.010000,9.100722,0.000000,9.108422,42.047165,107.813243,0.000000,0.000000
0.010000,9.526584,0.000000,9.534284,43.125297,107.813243,0.000000,0.000000
0.010000,9.963228,0.000000,9.970928,44.203430,107.813243,-0.000000,0.000000
0.010000,10.410653,0.000000,10.418353,45.281562,107.813243,0.000000,0.000000
0.010000,10.868859,0.000000,10.876559,46.359694,107.813243,0.000000,0.000000
0.010000,11.337727,0.000000,11.345427,47.413868,105.417393,-239.584984,0.000000
0.010000,11.817017,0.000000,11.824717,48.444084,103.021543,-239.584984,0.000000
0.010000,12.306489,0.000000,12.314189,49.450341,100.625693,-239.584984,0.000000
0.010000,12.805904,0.000000,12.813604,50.432639,98.229843,-239.584984,0.000000
0.010000,13.315022,0.000000,13.322722,51.390979,95.833993,-239.584984,0.000000
0.010000,13.833604,0.000000,13.841304,52.325360,93.438144,-239.584984,0.000000
0.010000,14.361409,0.000000,14.369109,53.235783,91.042294,-239.584984,0.000000
0.010000,14.898200,0.000000,14.905900,54.122248,88.646444,-239.584984,0.000000
0.010000,15.443735,0.000000,15.451435,54.984754,86.250594,-239.584984,0.000000
0.010000,15.997775,0.000000,16.005475,55.823301,83.854744,-239.584984,0.000000
0.010000,16.560081,0.000000,16.567781,56.637890,81.458894,-239.584984,0.000000
0.010000,17.130413,0.000000,17.138113,57.428521,79.063045,-239.584984,0.000000
0.010000,17.708531,0.000000,17.716231,58.195193,76.667195,-239.584984,0.000000
0.010000,18.294197,0.000000,18.301897,58.937906,74.271345,-239.584984,0.000000
0.010000,18.887170,0.000000,18.894870,59.656661,71.875495,-239.584984,0.000000
0.010000,19.487210,0.000000,19.494910,60.351457,69.479645,-239.584984,0.000000
